,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
1,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
2,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
3,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
4,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
5,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
6,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
7,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
8,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
9,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
10,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
11,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
12,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
13,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
14,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
15,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
16,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
17,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
18,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
19,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
20,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
21,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
22,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
23,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
24,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
25,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
26,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
27,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
28,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
29,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
30,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
31,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
32,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
33,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
34,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
35,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
36,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
37,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
38,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
39,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
40,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
41,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
42,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
43,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
44,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
45,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
46,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
47,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
48,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
49,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
50,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
51,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
52,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
53,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
54,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
55,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
56,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
57,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
58,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
59,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
60,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
61,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
62,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
63,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
64,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
65,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
66,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
67,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
68,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
69,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
70,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
71,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
72,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
73,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
74,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
75,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
76,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
77,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
78,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
79,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
80,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
81,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
82,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
83,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
84,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
85,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
86,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
87,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
88,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
89,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
90,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
91,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
92,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
93,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
94,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
95,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
96,1,53,106,158,211,263,316,368,421,473,526,578,631,683,736,788,841,893,946,999
